"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
78,23 Jan 2040 14:45:56.216,23 Jan 2040 18:41:00.922,14104.706
79,23 Jan 2040 21:37:45.452,23 Jan 2040 21:38:58.082,72.630
80,23 Jan 2040 22:25:18.349,24 Jan 2040 02:20:33.057,14114.708
81,24 Jan 2040 05:17:02.161,24 Jan 2040 05:18:25.249,83.089
82,24 Jan 2040 06:04:40.132,24 Jan 2040 10:00:05.181,14125.049
83,24 Jan 2040 12:56:18.870,24 Jan 2040 12:57:52.258,93.388
84,24 Jan 2040 13:44:01.878,24 Jan 2040 17:39:37.308,14135.430
85,24 Jan 2040 20:35:35.592,24 Jan 2040 20:37:19.750,104.158
86,24 Jan 2040 21:23:24.010,25 Jan 2040 01:19:09.424,14145.414
87,25 Jan 2040 04:14:52.313,25 Jan 2040 04:16:46.845,114.532
88,25 Jan 2040 05:02:45.676,25 Jan 2040 08:58:41.537,14155.861
89,25 Jan 2040 11:54:09.043,25 Jan 2040 11:56:13.945,124.902
90,25 Jan 2040 12:42:07.465,25 Jan 2040 16:38:13.639,14166.174
91,25 Jan 2040 19:33:25.785,25 Jan 2040 19:35:41.491,135.706
92,25 Jan 2040 20:21:29.466,26 Jan 2040 00:17:45.744,14176.278
93,26 Jan 2040 03:12:42.524,26 Jan 2040 03:15:08.566,146.042
94,26 Jan 2040 04:00:51.121,26 Jan 2040 07:57:17.838,14186.717
95,26 Jan 2040 10:51:59.275,26 Jan 2040 10:54:35.822,156.547
96,26 Jan 2040 11:40:12.942,26 Jan 2040 15:36:49.924,14196.982
97,26 Jan 2040 18:31:16.032,26 Jan 2040 18:34:03.282,167.250
98,26 Jan 2040 19:19:34.741,26 Jan 2040 23:16:22.010,14207.269
99,27 Jan 2040 02:10:32.796,27 Jan 2040 02:13:30.457,177.662
100,27 Jan 2040 02:58:56.490,27 Jan 2040 06:55:54.084,14217.593
101,27 Jan 2040 09:49:49.565,27 Jan 2040 09:52:57.827,188.262
102,27 Jan 2040 10:38:18.281,27 Jan 2040 14:35:26.160,14227.879
103,27 Jan 2040 17:29:06.344,27 Jan 2040 17:32:25.132,198.787
104,27 Jan 2040 18:17:39.903,27 Jan 2040 22:14:58.222,14238.319
105,28 Jan 2040 01:08:23.125,28 Jan 2040 01:11:52.510,209.385
106,28 Jan 2040 01:57:01.788,28 Jan 2040 05:54:30.283,14248.495
107,28 Jan 2040 08:47:39.919,28 Jan 2040 08:51:19.900,219.981
108,28 Jan 2040 09:36:23.462,28 Jan 2040 13:34:02.342,14258.880
109,28 Jan 2040 16:26:56.711,28 Jan 2040 16:30:47.107,230.396
110,28 Jan 2040 17:15:45.010,28 Jan 2040 21:13:34.388,14269.377
111,29 Jan 2040 00:06:13.514,29 Jan 2040 00:10:14.710,241.196
112,29 Jan 2040 00:55:06.969,29 Jan 2040 04:53:06.436,14279.468
113,29 Jan 2040 07:45:30.329,29 Jan 2040 07:49:42.040,251.712
114,29 Jan 2040 08:34:28.503,29 Jan 2040 12:32:38.470,14289.967
115,29 Jan 2040 15:24:47.141,29 Jan 2040 15:29:09.277,262.136
116,29 Jan 2040 16:13:50.068,29 Jan 2040 20:12:10.503,14300.435
117,29 Jan 2040 23:04:03.969,29 Jan 2040 23:08:37.012,273.043
118,29 Jan 2040 23:53:11.971,30 Jan 2040 03:51:42.535,14310.564
119,30 Jan 2040 06:43:20.795,30 Jan 2040 06:48:04.283,283.488
120,30 Jan 2040 07:32:33.425,30 Jan 2040 11:31:14.556,14321.131
121,30 Jan 2040 14:22:37.633,30 Jan 2040 14:27:31.657,294.024
122,30 Jan 2040 15:11:55.038,30 Jan 2040 19:10:46.573,14331.535
123,30 Jan 2040 22:01:54.476,30 Jan 2040 22:06:59.378,304.902
124,30 Jan 2040 22:51:16.764,31 Jan 2040 00:00:00.000,4123.236

