"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
78,13 Jan 2040 08:29:03.366,13 Jan 2040 08:57:03.743,1680.377
79,13 Jan 2040 09:46:11.546,13 Jan 2040 12:21:53.103,9341.557
80,13 Jan 2040 16:08:27.844,13 Jan 2040 16:36:30.435,1682.591
81,13 Jan 2040 17:25:34.002,13 Jan 2040 20:01:17.730,9343.727
82,13 Jan 2040 23:47:52.323,14 Jan 2040 00:15:57.245,1684.922
83,14 Jan 2040 01:04:56.315,14 Jan 2040 03:40:42.361,9346.045
84,14 Jan 2040 07:27:16.803,14 Jan 2040 07:55:23.894,1687.091
85,14 Jan 2040 08:44:18.477,14 Jan 2040 11:20:06.984,9348.507
86,14 Jan 2040 15:06:41.275,14 Jan 2040 15:34:50.813,1689.537
87,14 Jan 2040 16:23:41.036,14 Jan 2040 18:59:31.616,9350.580
88,14 Jan 2040 22:46:05.757,14 Jan 2040 23:14:17.587,1691.831
89,15 Jan 2040 00:03:03.204,15 Jan 2040 02:38:56.237,9353.034
90,15 Jan 2040 06:25:30.228,15 Jan 2040 06:53:44.205,1693.977
91,15 Jan 2040 07:42:25.358,15 Jan 2040 10:18:20.868,9355.510
92,15 Jan 2040 14:04:54.705,15 Jan 2040 14:33:11.305,1696.600
93,15 Jan 2040 15:21:47.891,15 Jan 2040 17:57:45.494,9357.602
94,15 Jan 2040 21:44:19.179,15 Jan 2040 22:12:38.012,1698.833
95,15 Jan 2040 23:01:09.955,16 Jan 2040 01:37:10.119,9360.164
96,16 Jan 2040 05:23:43.653,16 Jan 2040 05:52:04.723,1701.069
97,16 Jan 2040 06:40:32.160,16 Jan 2040 09:16:34.743,9362.583
98,16 Jan 2040 13:03:08.133,16 Jan 2040 13:31:31.866,1703.733
99,16 Jan 2040 14:19:54.544,16 Jan 2040 16:55:59.362,9364.819
100,16 Jan 2040 20:42:32.602,16 Jan 2040 21:10:58.549,1705.947
101,16 Jan 2040 21:59:16.611,17 Jan 2040 00:35:23.990,9367.379
102,17 Jan 2040 04:21:57.081,17 Jan 2040 04:50:25.410,1708.329
103,17 Jan 2040 05:38:38.843,17 Jan 2040 08:14:48.608,9369.765
104,17 Jan 2040 12:01:21.550,17 Jan 2040 12:29:52.467,1710.917
105,17 Jan 2040 13:18:01.020,17 Jan 2040 15:54:13.235,9372.215
106,17 Jan 2040 19:40:46.028,17 Jan 2040 20:09:19.247,1713.219
107,17 Jan 2040 20:57:23.195,17 Jan 2040 23:33:37.858,9374.662
108,18 Jan 2040 03:20:10.497,18 Jan 2040 03:48:46.215,1715.718
109,18 Jan 2040 04:36:45.376,18 Jan 2040 07:13:02.479,9377.103
110,18 Jan 2040 10:59:34.970,18 Jan 2040 11:28:13.114,1718.144
111,18 Jan 2040 12:16:07.388,18 Jan 2040 14:52:27.100,9379.712
112,18 Jan 2040 18:38:59.443,18 Jan 2040 19:07:40.100,1720.657
113,18 Jan 2040 19:55:29.698,18 Jan 2040 22:31:51.718,9382.020
114,19 Jan 2040 02:18:23.915,19 Jan 2040 02:47:07.082,1723.167
115,19 Jan 2040 03:34:51.753,19 Jan 2040 06:11:16.342,9384.589
116,19 Jan 2040 09:57:48.393,19 Jan 2040 10:26:33.882,1725.490
117,19 Jan 2040 11:14:13.707,19 Jan 2040 13:50:40.958,9387.250
118,19 Jan 2040 17:37:12.861,19 Jan 2040 18:06:01.088,1728.227
119,19 Jan 2040 18:53:36.070,19 Jan 2040 21:30:05.580,9389.511
120,20 Jan 2040 01:16:37.336,20 Jan 2040 01:45:28.010,1730.674
121,20 Jan 2040 02:32:57.988,20 Jan 2040 05:09:30.202,9392.214
122,20 Jan 2040 08:56:01.806,20 Jan 2040 09:24:54.843,1733.037
123,20 Jan 2040 10:12:19.966,20 Jan 2040 12:48:54.822,9394.855
124,20 Jan 2040 16:35:26.278,20 Jan 2040 17:04:22.169,1735.892
125,20 Jan 2040 17:51:42.252,20 Jan 2040 20:28:19.441,9397.189
126,21 Jan 2040 00:14:50.750,21 Jan 2040 00:43:49.034,1738.284
127,21 Jan 2040 01:31:04.107,21 Jan 2040 04:07:44.056,9399.948
128,21 Jan 2040 07:54:15.223,21 Jan 2040 08:23:16.002,1740.779
129,21 Jan 2040 09:10:26.134,21 Jan 2040 11:47:08.679,9402.544
130,21 Jan 2040 15:33:39.700,21 Jan 2040 16:02:43.307,1743.607
131,21 Jan 2040 16:49:48.234,21 Jan 2040 19:26:33.293,9405.059
132,21 Jan 2040 23:13:04.168,21 Jan 2040 23:42:10.205,1746.038
133,22 Jan 2040 00:29:10.145,22 Jan 2040 03:05:57.912,9407.768
134,22 Jan 2040 06:52:28.643,22 Jan 2040 07:21:37.316,1748.673
135,22 Jan 2040 08:08:32.170,22 Jan 2040 10:45:22.535,9410.365
136,22 Jan 2040 14:31:53.113,22 Jan 2040 15:01:04.483,1751.370
137,22 Jan 2040 15:47:54.069,22 Jan 2040 18:24:47.153,9413.084
138,22 Jan 2040 22:11:17.585,22 Jan 2040 22:40:31.539,1753.953
139,22 Jan 2040 23:27:16.112,23 Jan 2040 02:04:11.771,9415.659
140,23 Jan 2040 05:50:42.058,23 Jan 2040 06:19:58.717,1756.659
141,23 Jan 2040 07:06:38.055,23 Jan 2040 09:43:36.385,9418.330
142,23 Jan 2040 13:30:06.531,23 Jan 2040 13:59:25.745,1759.214
143,23 Jan 2040 14:45:59.831,23 Jan 2040 17:23:01.007,9421.176
144,23 Jan 2040 21:09:31.009,23 Jan 2040 21:38:53.027,1762.018
145,23 Jan 2040 22:25:21.987,24 Jan 2040 01:02:25.621,9423.634
146,24 Jan 2040 04:48:55.478,24 Jan 2040 05:18:20.181,1764.703
147,24 Jan 2040 06:04:43.787,24 Jan 2040 08:41:50.240,9426.453
148,24 Jan 2040 12:28:19.954,24 Jan 2040 12:57:47.167,1767.213
149,24 Jan 2040 13:44:05.549,24 Jan 2040 16:21:14.862,9429.313
150,24 Jan 2040 20:07:44.425,24 Jan 2040 20:37:14.639,1770.213
151,24 Jan 2040 21:23:27.703,25 Jan 2040 00:00:39.480,9431.777
152,25 Jan 2040 03:47:08.899,25 Jan 2040 04:16:41.714,1772.815
153,25 Jan 2040 05:02:49.390,25 Jan 2040 07:40:04.098,9434.708
154,25 Jan 2040 11:26:33.374,25 Jan 2040 11:56:08.793,1775.420
155,25 Jan 2040 12:42:11.197,25 Jan 2040 15:19:28.716,9437.518
156,25 Jan 2040 19:05:57.852,25 Jan 2040 19:35:36.324,1778.472
157,25 Jan 2040 20:21:33.219,25 Jan 2040 22:58:53.335,9440.116
158,26 Jan 2040 02:45:22.328,26 Jan 2040 03:15:03.376,1781.048
159,26 Jan 2040 04:00:54.893,26 Jan 2040 06:38:17.948,9443.056
160,26 Jan 2040 10:24:46.798,26 Jan 2040 10:54:30.614,1783.816
161,26 Jan 2040 11:40:16.740,26 Jan 2040 14:17:42.572,9445.832
162,26 Jan 2040 18:04:11.278,26 Jan 2040 18:33:58.051,1786.773
163,26 Jan 2040 19:19:38.556,26 Jan 2040 21:57:07.190,9448.634
164,27 Jan 2040 01:43:35.750,27 Jan 2040 02:13:25.204,1789.454
165,27 Jan 2040 02:59:00.324,27 Jan 2040 05:36:31.809,9451.485
166,27 Jan 2040 09:23:00.226,27 Jan 2040 09:52:52.557,1792.331
167,27 Jan 2040 10:38:22.133,27 Jan 2040 13:15:56.428,9454.296
168,27 Jan 2040 17:02:24.703,27 Jan 2040 17:32:19.843,1795.140
169,27 Jan 2040 18:17:43.776,27 Jan 2040 20:55:21.046,9457.270
170,28 Jan 2040 00:41:49.181,28 Jan 2040 01:11:47.202,1798.021
171,28 Jan 2040 01:57:05.687,28 Jan 2040 04:34:45.667,9459.981
172,28 Jan 2040 08:21:13.663,28 Jan 2040 08:51:14.568,1800.905
173,28 Jan 2040 09:36:27.377,28 Jan 2040 12:14:10.282,9462.905
174,28 Jan 2040 16:00:38.136,28 Jan 2040 16:30:41.757,1803.620
175,28 Jan 2040 17:15:48.946,28 Jan 2040 19:53:34.907,9465.961
176,28 Jan 2040 23:40:02.619,29 Jan 2040 00:10:09.339,1806.720
177,29 Jan 2040 00:55:10.925,29 Jan 2040 03:32:59.523,9468.597
178,29 Jan 2040 07:19:27.094,29 Jan 2040 07:49:36.643,1809.549
179,29 Jan 2040 08:34:32.481,29 Jan 2040 11:12:24.148,9471.667
180,29 Jan 2040 14:58:51.575,29 Jan 2040 15:29:03.863,1812.288
181,29 Jan 2040 16:13:54.067,29 Jan 2040 18:51:48.769,9474.702
182,29 Jan 2040 22:38:16.054,29 Jan 2040 23:08:31.578,1815.525
183,29 Jan 2040 23:53:15.988,30 Jan 2040 02:31:13.390,9477.401
184,30 Jan 2040 06:17:40.539,30 Jan 2040 06:47:58.828,1818.289
185,30 Jan 2040 07:32:37.465,30 Jan 2040 10:10:38.011,9480.546
186,30 Jan 2040 13:57:05.021,30 Jan 2040 14:27:26.176,1821.156
187,30 Jan 2040 15:11:59.102,30 Jan 2040 17:50:02.629,9483.527
188,30 Jan 2040 21:36:29.498,30 Jan 2040 22:06:53.879,1824.381
189,30 Jan 2040 22:51:20.849,31 Jan 2040 00:00:00.000,4119.151

