"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
78,13 Jan 2040 06:52:54.335,13 Jan 2040 08:57:10.044,7455.709
79,13 Jan 2040 09:46:13.979,13 Jan 2040 11:28:04.773,6110.794
80,13 Jan 2040 14:32:11.081,13 Jan 2040 16:36:36.759,7465.677
81,13 Jan 2040 17:25:36.421,13 Jan 2040 19:07:37.307,6120.886
82,13 Jan 2040 22:11:27.839,14 Jan 2040 00:16:03.576,7475.736
83,14 Jan 2040 01:04:58.720,14 Jan 2040 02:47:09.838,6131.119
84,14 Jan 2040 05:50:44.595,14 Jan 2040 07:55:30.238,7485.643
85,14 Jan 2040 08:44:20.871,14 Jan 2040 10:26:42.356,6141.485
86,14 Jan 2040 13:30:01.359,14 Jan 2040 15:34:57.173,7495.814
87,14 Jan 2040 16:23:43.410,14 Jan 2040 18:06:14.872,6151.461
88,14 Jan 2040 21:09:18.129,14 Jan 2040 23:14:23.960,7505.831
89,15 Jan 2040 00:03:05.566,15 Jan 2040 01:45:47.385,6161.819
90,15 Jan 2040 04:48:34.905,15 Jan 2040 06:53:50.591,7515.686
91,15 Jan 2040 07:42:27.709,15 Jan 2040 09:25:19.885,6172.176
92,15 Jan 2040 12:27:51.690,15 Jan 2040 14:33:17.708,7526.018
93,15 Jan 2040 15:21:50.229,15 Jan 2040 17:04:52.383,6182.153
94,15 Jan 2040 20:07:08.472,15 Jan 2040 22:12:44.421,7535.948
95,15 Jan 2040 23:01:12.278,16 Jan 2040 00:44:24.872,6192.593
96,16 Jan 2040 03:46:25.266,16 Jan 2040 05:52:11.146,7545.880
97,16 Jan 2040 06:40:34.470,16 Jan 2040 08:23:57.354,6202.883
98,16 Jan 2040 11:25:42.062,16 Jan 2040 13:31:38.306,7556.244
99,16 Jan 2040 14:19:56.841,16 Jan 2040 16:03:29.829,6212.988
100,16 Jan 2040 19:04:58.868,16 Jan 2040 21:11:05.006,7566.139
101,16 Jan 2040 21:59:18.895,16 Jan 2040 23:43:02.295,6223.401
102,17 Jan 2040 02:44:15.673,17 Jan 2040 04:50:31.877,7576.204
103,17 Jan 2040 05:38:41.116,17 Jan 2040 07:22:34.761,6233.645
104,17 Jan 2040 10:23:32.491,17 Jan 2040 12:29:58.943,7586.452
105,17 Jan 2040 13:18:03.274,17 Jan 2040 15:02:07.217,6243.943
106,17 Jan 2040 18:02:49.307,17 Jan 2040 20:09:25.738,7596.431
107,17 Jan 2040 20:57:25.441,17 Jan 2040 22:41:39.667,6254.226
108,18 Jan 2040 01:42:06.132,18 Jan 2040 03:48:52.728,7606.596
109,18 Jan 2040 04:36:47.607,18 Jan 2040 06:21:12.109,6264.502
110,18 Jan 2040 09:21:22.967,18 Jan 2040 11:28:19.634,7616.667
111,18 Jan 2040 12:16:09.604,18 Jan 2040 14:00:44.542,6274.938
112,18 Jan 2040 17:00:39.799,18 Jan 2040 19:07:46.634,7626.835
113,18 Jan 2040 19:55:31.900,18 Jan 2040 21:40:16.976,6285.076
114,19 Jan 2040 00:39:56.641,19 Jan 2040 02:47:13.631,7636.990
115,19 Jan 2040 03:34:53.941,19 Jan 2040 05:19:49.399,6295.458
116,19 Jan 2040 08:19:13.489,19 Jan 2040 10:26:40.451,7646.961
117,19 Jan 2040 11:14:15.879,19 Jan 2040 12:59:21.817,6305.938
118,19 Jan 2040 15:58:30.344,19 Jan 2040 18:06:07.666,7657.322
119,19 Jan 2040 18:53:38.230,19 Jan 2040 20:38:54.224,6315.993
120,19 Jan 2040 23:37:47.202,20 Jan 2040 01:45:34.605,7667.402
121,20 Jan 2040 02:33:00.131,20 Jan 2040 04:18:26.628,6326.497
122,20 Jan 2040 07:17:04.070,20 Jan 2040 09:25:01.453,7677.383
123,20 Jan 2040 10:12:22.096,20 Jan 2040 11:57:59.031,6336.935
124,20 Jan 2040 14:56:20.938,20 Jan 2040 17:04:28.794,7687.856
125,20 Jan 2040 17:51:44.367,20 Jan 2040 19:37:31.421,6347.054
126,20 Jan 2040 22:35:37.819,21 Jan 2040 00:43:55.672,7697.853
127,21 Jan 2040 01:31:06.208,21 Jan 2040 03:17:03.808,6357.600
128,21 Jan 2040 06:14:54.698,21 Jan 2040 08:23:22.654,7707.956
129,21 Jan 2040 09:10:28.220,21 Jan 2040 10:56:36.188,6367.967
130,21 Jan 2040 13:54:11.586,21 Jan 2040 16:02:49.971,7718.385
131,21 Jan 2040 16:49:50.307,21 Jan 2040 18:36:08.556,6378.248
132,21 Jan 2040 21:33:28.480,21 Jan 2040 23:42:16.885,7728.405
133,22 Jan 2040 00:29:12.201,22 Jan 2040 02:15:40.927,6388.726
134,22 Jan 2040 05:12:45.380,22 Jan 2040 07:21:44.012,7738.631
135,22 Jan 2040 08:08:34.212,22 Jan 2040 09:55:13.285,6399.073
136,22 Jan 2040 12:52:02.286,22 Jan 2040 15:01:11.195,7748.908
137,22 Jan 2040 15:47:56.099,22 Jan 2040 17:34:45.642,6409.542
138,22 Jan 2040 20:31:19.199,22 Jan 2040 22:40:38.262,7759.063
139,22 Jan 2040 23:27:18.125,23 Jan 2040 01:14:17.985,6419.860
140,23 Jan 2040 04:10:36.118,23 Jan 2040 06:20:05.460,7769.342
141,23 Jan 2040 07:06:40.053,23 Jan 2040 08:53:50.331,6430.279
142,23 Jan 2040 11:49:53.041,23 Jan 2040 13:59:32.499,7779.458
143,23 Jan 2040 14:46:01.816,23 Jan 2040 16:33:22.667,6440.851
144,23 Jan 2040 19:29:09.974,23 Jan 2040 21:38:59.796,7789.822
145,23 Jan 2040 22:25:23.954,24 Jan 2040 00:12:54.993,6451.039
146,24 Jan 2040 03:08:26.907,24 Jan 2040 05:18:26.960,7800.053
147,24 Jan 2040 06:04:45.744,24 Jan 2040 07:52:27.319,6461.575
148,24 Jan 2040 10:47:43.854,24 Jan 2040 12:57:53.962,7810.109
149,24 Jan 2040 13:44:07.489,24 Jan 2040 15:31:59.632,6472.143
150,24 Jan 2040 18:27:00.798,24 Jan 2040 20:37:21.449,7820.651
151,24 Jan 2040 21:23:29.627,24 Jan 2040 23:11:31.948,6482.321
152,25 Jan 2040 02:06:17.752,25 Jan 2040 04:16:48.540,7830.789
153,25 Jan 2040 05:02:51.299,25 Jan 2040 06:51:04.252,6492.953
154,25 Jan 2040 09:45:34.712,25 Jan 2040 11:56:15.641,7840.928
155,25 Jan 2040 12:42:13.091,25 Jan 2040 14:30:36.547,6503.456
156,25 Jan 2040 17:24:51.679,25 Jan 2040 19:35:43.179,7851.500
157,25 Jan 2040 20:21:35.097,25 Jan 2040 22:10:08.844,6513.746
158,26 Jan 2040 01:04:08.657,26 Jan 2040 03:15:10.249,7861.592
159,26 Jan 2040 04:00:56.760,26 Jan 2040 05:49:41.130,6524.370
160,26 Jan 2040 08:43:25.632,26 Jan 2040 10:54:37.500,7871.868
161,26 Jan 2040 11:40:18.588,26 Jan 2040 13:29:13.411,6534.824
162,26 Jan 2040 16:22:42.618,26 Jan 2040 18:34:04.959,7882.340
163,26 Jan 2040 19:19:40.385,26 Jan 2040 21:08:45.686,6545.301
164,27 Jan 2040 00:01:59.609,27 Jan 2040 02:13:32.122,7892.513
165,27 Jan 2040 02:59:02.140,27 Jan 2040 04:48:17.950,6555.809
166,27 Jan 2040 07:41:16.610,27 Jan 2040 09:52:59.489,7902.879
167,27 Jan 2040 10:38:23.934,27 Jan 2040 12:27:50.216,6566.283
168,27 Jan 2040 15:20:33.612,27 Jan 2040 17:32:26.792,7913.180
169,27 Jan 2040 18:17:45.561,27 Jan 2040 20:07:22.472,6576.911
170,27 Jan 2040 22:59:50.627,28 Jan 2040 01:11:54.168,7923.541
171,28 Jan 2040 01:57:07.452,28 Jan 2040 03:46:54.723,6587.271
172,28 Jan 2040 06:39:07.644,28 Jan 2040 08:51:21.553,7933.910
173,28 Jan 2040 09:36:29.131,28 Jan 2040 11:26:26.963,6597.832
174,28 Jan 2040 14:18:24.662,28 Jan 2040 16:30:48.756,7944.093
175,28 Jan 2040 17:15:50.686,28 Jan 2040 19:05:59.206,6608.520
176,28 Jan 2040 21:57:41.692,29 Jan 2040 00:10:16.350,7954.658
177,29 Jan 2040 00:55:12.648,29 Jan 2040 02:45:31.438,6618.791
178,29 Jan 2040 05:36:58.729,29 Jan 2040 07:49:43.678,7964.949
179,29 Jan 2040 08:34:34.190,29 Jan 2040 10:25:03.663,6629.473
180,29 Jan 2040 13:16:15.776,29 Jan 2040 15:29:10.906,7975.130
181,29 Jan 2040 16:13:55.757,29 Jan 2040 18:04:35.886,6640.129
182,29 Jan 2040 20:55:32.821,29 Jan 2040 23:08:38.637,7985.815
183,29 Jan 2040 23:53:17.663,30 Jan 2040 01:44:08.101,6650.438
184,30 Jan 2040 04:34:49.879,30 Jan 2040 06:48:05.902,7996.024
185,30 Jan 2040 07:32:39.122,30 Jan 2040 09:23:40.309,6661.187
186,30 Jan 2040 12:14:06.940,30 Jan 2040 14:27:33.271,8006.331
187,30 Jan 2040 15:12:00.743,30 Jan 2040 17:03:12.512,6671.768
188,30 Jan 2040 19:53:24.012,30 Jan 2040 22:07:00.988,8016.976
189,30 Jan 2040 22:51:22.475,31 Jan 2040 00:00:00.000,4117.525

