Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,7/5/40 2:00,7/5/40 3:40,6013.323
2,7/5/40 5:20,7/5/40 11:19,21528.665
3,7/5/40 13:00,7/5/40 18:59,21525.036
4,7/5/40 20:39,7/6/40 2:38,21521.34
5,7/6/40 4:19,7/6/40 10:17,21517.571
6,7/6/40 11:58,7/6/40 17:57,21513.737
7,7/6/40 19:38,7/7/40 1:36,21509.83
